Date,Open,High,Low,Close,Volume
Oct62021,51486.66,55568.46,50488.19,55361.45,49034730168
Oct52021,49174.96,51839.98,49072.84,51514.81,35873904236
Oct42021,48208.91,49456.78,47045,49112.9,33383173002
Oct32021,47680.03,49130.69,47157.29,48199.95,26638115879
Oct22021,48137.47,48282.06,47465.5,47711.49,30614346492
Oct12021,43816.74,48436.01,43320.02,48116.94,42850641582
Sep302021,41551.27,44092.6,41444.58,43790.89,31141681925
Sep292021,41064.98,42545.26,40829.67,41564.36,30602359905
Sep282021,42200.9,42775.14,40931.66,41034.54,30214940550
Sep272021,43234.18,44313.25,42190.63,42235.73,30980029059
Sep262021,42721.63,43919.3,40848.46,43208.54,30661222077
Sep252021,42840.89,42996.26,41759.92,42716.59,31604717236
Sep242021,44894.3,45080.49,40936.56,42839.75,42839345714
Sep232021,43560.3,44942.18,43109.34,44895.1,34244064430
Sep222021,40677.95,43978.62,40625.63,43574.51,38139709246
Sep212021,43012.23,43607.61,39787.61,40693.68,48701090088
Sep202021,47261.41,47328.2,42598.91,42843.8,43909845642
Sep192021,48268.86,48328.37,46919.8,47260.22,26967722648
Sep182021,47273.53,48791.78,47087.29,48278.36,28575630451
Sep172021,47771,48160.92,46832.52,47267.52,28727713711
Sep162021,48158.91,48486.83,47079.56,47783.36,31764293754
Sep152021,47098,48450.47,46773.33,48176.35,30484496466
Sep142021,44960.05,47218.13,44752.33,47092.49,38652152880
Sep132021,46057.21,46598.68,43591.32,44963.07,40969943253
Sep122021,45206.63,46364.88,44790.46,46063.27,27881980161
Sep112021,44869.84,45969.29,44818.27,45201.46,34499835245
Sep102021,46396.66,47031.74,44344.48,44883.91,39154666597
Sep92021,45774.74,47261.95,45669.74,46391.42,38672657013
Sep82021,46827.76,47334.05,44561.39,46091.39,49007762488
Sep72021,52660.48,52853.77,43285.21,46811.13,65210059683
Sep62021,51769,52700.94,51053.68,52633.54,38884105426
Sep52021,49937.86,51868.68,49538.6,51753.41,30322676319
Sep42021,50009.32,50545.58,49548.78,49944.63,37471327794
Sep32021,49288.25,50982.27,48386.09,50025.38,43206179619
Sep22021,48807.85,50343.42,48652.32,49327.72,39508070319
Sep12021,47099.77,49111.09,46562.44,48847.03,39139399125
Aug312021,47024.34,48189.55,46750.09,47166.69,34730363427
Aug302021,48834.85,48925.61,46950.27,47054.98,31847007016
Aug292021,48911.25,49644.11,47925.86,48829.83,25889650240
Aug282021,49072.59,49283.5,48499.24,48902.4,28568103401
Aug272021,46894.55,49112.79,46394.28,49058.67,34511076995
Aug262021,49002.64,49347.58,46405.78,46942.22,32666549568
Aug252021,47727.26,49202.88,47163.61,48960.79,32646349931
Aug242021,49562.35,49878.77,47687.12,47706.12,35361168834
Aug232021,49291.68,50482.08,49074.61,49546.15,34305053719
Aug222021,48869.11,49471.61,48199.94,49321.65,25370975378
Aug212021,49327.07,49717.02,48312.2,48905.49,40585205312
Aug202021,46723.12,49342.15,46650.71,49339.18,34706867452
Aug192021,44741.88,46970.76,43998.32,46717.58,37204312299
